Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create client,100,75291,90932,96194,97029,97610,162,97644,0.000%,.84091,0.36,0.17
first message,100,213781,244599,310002,310002,310002,5143,310005,38.000%,.23324,0.29,0.04
HTTP Request,100,267758,310002,310003,310003,310007,10231,310010,81.000%,.13637,0.30,0.01
finish session,100,122578,86680,310002,310002,310002,15967,310003,98.000%,.13531,0.35,0.00
TOTAL,400,169852,117048,310002,310002,310004,162,310010,54.250%,.52988,0.85,0.06
