Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create client,1000,14363,13927,25362,26971,46552,8,66147,0.000%,5.38593,1.83,1.08
first message,1000,22785,21543,40759,42944,62640,5020,71111,0.000%,4.66716,1.40,1.33
HTTP Request,1000,24374,25222,40829,43145,63528,5012,71105,0.000%,4.67578,1.45,1.52
finish session,1000,17328,15923,35148,37921,58111,6,65232,0.000%,4.78833,1.22,1.17
TOTAL,4000,19712,18895,38207,41601,58111,6,71111,0.000%,18.23620,5.49,4.81
