Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create client,500,19061,20156,34002,36302,93417,11,94708,0.000%,3.28392,1.11,0.66
first message,500,38233,37452,63732,68576,69843,10021,109385,0.000%,2.48196,0.75,0.70
HTTP Request,500,46152,51392,67050,67956,80053,10016,109566,0.000%,2.46794,0.76,0.80
finish session,500,28769,28216,54390,57317,62155,6,100031,0.000%,2.59990,0.66,0.64
TOTAL,2000,33054,30237,62170,67099,80416,6,109566,0.000%,9.39611,2.83,2.48
