Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create client,100,1121,40,3008,3097,3641,9,5721,0.000%,3.11129,1.05,0.62
first message,100,11190,10336,12686,13049,13465,10030,15737,0.000%,2.24739,0.67,0.64
HTTP Request,100,11149,10981,12470,12864,13188,10016,13275,0.000%,2.25718,0.70,0.73
finish session,100,1165,39,2676,3033,3659,8,4810,0.000%,2.91971,0.74,0.72
TOTAL,400,6156,5721,12411,12577,13188,8,15737,0.000%,7.32963,2.20,1.93
