Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create client,100,12,9,22,24,29,6,33,0.000%,3.36576,1.43,0.67
first message,100,5033,5030,5046,5048,5062,5021,5164,0.000%,2.88143,1.11,0.82
HTTP Request,100,5021,5021,5026,5028,5035,5013,5043,0.000%,2.89469,1.14,0.94
finish session,100,14,15,18,20,25,8,34,0.000%,3.38513,1.15,0.83
TOTAL,400,2520,34,5033,5038,5049,6,5164,0.000%,10.05733,3.89,2.65
