Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create client,100,215,23,670,1196,2021,5,2211,0.000%,3.36598,1.43,0.67
first message,100,7472,5334,15053,15080,15122,5020,15129,0.000%,2.91809,1.13,0.83
HTTP Request,100,5204,5044,6031,6794,7253,6,7871,0.000%,3.44163,1.35,1.12
finish session,100,110,18,452,651,740,5,1038,0.000%,3.44056,1.17,0.84
TOTAL,400,3250,1757,6717,11052,15084,5,15129,0.000%,10.05834,3.88,2.64
